incremental_optimize,,,,,,,,,,,,,
iteration,true_entropy,test_regret,norm post_avg-true,post_regret,perf_measure,std_proxy,mean_proxy,std_goal,mean_goal,cum_test_regret,cum_post_regret,time,time_query_chooser
-1,13.815510557964274,122.2267936706543,1.4221023462509135,9.305855868002217,inf,5.4782710057463495,0.01126,5.477367338420803,0.0552,122.2267936706543,9.305855868002217,7.581710815429688e-05,0.0
0,12.635610580444336,116.04911003112792,1.183181592939336,3.495988946030934,12.448192596435547,5.365036063960602,-0.82482,4.450456544625904,3.51538,238.27590370178223,12.801844814033151,9.094966173171997,8.361797332763672
1,11.652910232543945,93.73101005554199,1.1592879045917874,3.5579768160697105,11.585073471069336,4.830979490745018,-2.5346,3.5136985414234134,5.1984,332.00691375732424,16.35982163010286,1.164916753768921,1.0429387092590332
2,10.853163719177246,134.69391078948973,1.224445544033641,-0.23550086391780525,11.007829666137695,4.981924084488226,-1.93858,3.4505338717360337,5.256,466.700824546814,16.124320766185054,1.1540741920471191,1.0341098308563232
3,9.6688232421875,98.20374431610108,1.1088194357876409,-0.5299356636711788,10.218361854553223,4.204750996240128,-3.98186,3.9450638638173907,4.22152,564.9045688629151,15.594385102513876,1.1688361167907715,1.0402913093566895
4,9.128609657287598,134.7846113204956,1.1328505925575822,0.1324991272280774,9.219527244567871,4.065407225653778,-4.25664,3.912954172182374,4.17908,699.6891801834107,15.726884229741954,1.143413782119751,1.0148718357086182
5,8.711485862731934,131.48532161712646,1.2036399609335005,-0.007745268541695572,8.350740432739258,3.7012197263063933,-3.92376,3.953681676161354,4.36494,831.1745018005372,15.719138961200258,1.155557632446289,1.027714490890503
6,8.693782806396484,131.48532161712646,1.203442657479181,0.22281664814995059,8.68626594543457,3.682396159894127,-3.96904,3.9655401631555596,4.38012,962.6598234176637,15.94195560935021,1.1474802494049072,1.0187737941741943
7,8.513673782348633,128.027809715271,1.2034786802788802,-0.1323182483047925,8.411345481872559,3.6683511229979824,-4.14128,3.8715010486375063,4.51548,1090.6876331329347,15.809637361045416,1.144468069076538,1.0218360424041748
8,8.443497657775879,128.027809715271,1.203689312568462,-0.0032251743827724777,8.44066333770752,3.651639800363529,-4.18822,3.8011663914647746,4.59238,1218.7154428482056,15.806412186662644,1.139106273651123,1.0090100765228271
9,8.097455024719238,172.2553274154663,1.210234760283104,-0.30452188499698507,7.832575798034668,3.596800320062319,-2.50524,3.711972159324345,4.73122,1390.970770263672,15.501890301665659,1.1254000663757324,0.9976680278778076
10,7.927590847015381,173.90350856781006,1.2114395325206708,0.4795852546987408,7.758096694946289,3.712268921239446,-2.04242,3.9162465008731377,4.30462,1564.8742788314821,15.9814755563644,1.114788293838501,0.9898154735565186
11,7.453940391540527,171.46293392181397,1.2024252991984605,0.0022991327595597868,7.613165855407715,3.4518953397227268,-2.78806,3.871464123610384,4.46586,1736.3372127532962,15.98377468912396,1.1401708126068115,1.011728286743164
12,7.314740180969238,167.89893093109131,1.1877547305954848,0.632640783827673,7.2158122062683105,3.4442422116330538,-3.07626,3.909724104383966,4.40674,1904.2361436843876,16.616415472951633,1.1300837993621826,1.003183364868164
13,6.934220314025879,140.02038249969482,1.1651851272567557,-0.2198067510998408,7.208767890930176,3.2510227746969127,-2.91072,3.891272318355744,4.21038,2044.2565261840823,16.39660872185179,1.130598545074463,1.0012474060058594
14,6.430452346801758,100.43037490844726,1.10342176173929,0.09324936606067571,6.895199775695801,3.1026762102420795,-2.43188,4.597017265836735,1.73476,2144.6869010925298,16.489858087912467,1.1269536018371582,1.0003514289855957
15,6.394260406494141,98.63493270874024,1.065619327862539,0.10895745853172507,6.309734344482422,3.139471597258683,-2.5447,4.4304517674385675,2.35558,2243.32183380127,16.598815546444193,1.0835824012756348,0.9545607566833496
16,6.007745742797852,97.65155944824218,1.0832704206428854,0.37127409955053287,6.2288384437561035,3.131754650351307,-2.7841,4.514052758398017,2.06788,2340.973393249512,16.970089645994726,1.103994369506836,0.9820895195007324
17,5.6026692390441895,57.93764953613281,1.0414065193194895,0.13469861941475583,5.708301067352295,2.6479386624316037,-4.1422,4.3637565280843065,2.20806,2398.911042785645,17.104788265409482,1.0956013202667236,0.9794063568115234
18,5.599682331085205,57.93764953613281,1.041521608771467,-0.5776816974435064,5.5991716384887695,2.6292484607582085,-4.12146,4.368906492750941,2.20024,2456.848692321778,16.527106567965976,1.1139874458312988,0.9864084720611572
19,5.577388763427734,58.00036773681641,1.0348024439428107,-0.05291920078785835,5.556697368621826,2.6228094157982884,-4.21178,4.326945506982723,2.35214,2514.849060058594,16.474187367178118,1.107466697692871,1.0036249160766602
20,5.646316051483154,76.99407272338867,0.8716313832074298,-0.16796104417498678,5.405055999755859,2.568435158145575,-3.17872,4.821056187974021,2.14518,2591.843132781983,16.30622632300313,1.110098123550415,0.9803428649902344
21,5.5898756980896,93.36043090820313,0.8361464863417929,0.09866495915511182,5.513129234313965,2.63412078500549,-2.9113,4.800708381062258,2.5352,2685.203563690186,16.404891282158243,1.1093101501464844,0.9911718368530273
22,5.625929832458496,72.84833984375,0.775858354121402,0.33735095916009833,5.528180122375488,2.6258727314171173,-2.87228,4.722012265972827,2.9004,2758.051903533936,16.74224224131834,1.0747790336608887,0.9599556922912598
23,5.52803897857666,61.512525177001955,0.7986155564724856,0.13545727698835294,5.519400596618652,2.630561734687129,-2.9864,4.768662889784654,2.75206,2819.564428710938,16.877699518306695,1.1090047359466553,0.9913780689239502
24,5.117238521575928,45.275303268432616,0.7210745812892101,0.23653668197181338,5.376325607299805,2.58894275185832,-2.86826,4.6133016341448325,3.30018,2864.8397319793708,17.11423620027851,1.1339218616485596,1.0084238052368164
25,4.722285747528076,39.900156021118164,0.6573994551660265,-0.2775633306682717,4.974277019500732,2.5275062238498993,-2.94622,4.453489253113791,3.89582,2904.739888000489,16.836672869610236,1.0974695682525635,0.9776027202606201
26,4.6898603439331055,39.900156021118164,0.6634236939196116,-0.04192426723702238,4.682420253753662,2.468105702760909,-2.9868,4.476408716102299,3.87492,2944.640044021607,16.794748602373215,1.063474416732788,0.9436933994293213
27,4.517435550689697,39.18550148010254,0.6490156195813374,0.3475328037235209,4.614718437194824,2.3796633842625803,-3.16924,4.418471873351005,4.06638,2983.8255455017097,17.142281406096735,1.1021630764007568,0.9775388240814209
28,4.129465579986572,45.808724594116214,0.589276426893893,0.35801996666069397,4.267107009887695,2.0934792536826032,-2.16512,4.177789311633254,5.07026,3029.6342700958257,17.50030137275743,1.0500414371490479,0.9265944957733154
29,4.189721584320068,46.02312126159668,0.5949411569266162,0.5499635072367581,4.038734436035156,2.1672465668678855,-2.15428,4.32804233602216,4.85124,3075.6573913574225,18.050264879994188,1.1093742847442627,0.9846580028533936
30,4.1656975746154785,45.02172966003418,0.5675140165463317,-0.19423551615183202,4.149875640869141,2.1633905787897496,-2.13506,4.177822101286896,5.1443,3120.6791210174565,17.856029363842357,1.0471794605255127,0.9300882816314697
31,4.164022922515869,45.00356864929199,0.5315284074841229,0.3439905329156965,4.08419132232666,2.171412424299456,-1.93406,3.925118216003268,5.61852,3165.6826896667485,18.200019896758054,1.029106855392456,0.9120047092437744
32,4.156495571136475,45.00356864929199,0.5323825041608827,0.42586570902135384,4.1564483642578125,2.174723393813548,-1.94598,3.9259688625855276,5.6207,3210.6862583160405,18.62588560577941,1.0520257949829102,0.9342749118804932
33,4.151388645172119,45.00356864929199,0.532893621657167,0.35025557873623725,4.151236057281494,2.1781064789398927,-1.97608,3.9299723437198657,5.59076,3255.6898269653325,18.976141184515647,1.10050630569458,0.9849157333374023
34,3.722710609436035,22.68891716003418,0.5312758631576948,-0.4417046285273827,4.09891939163208,2.0743769682481283,-1.50044,3.475613512229873,6.07944,3278.3787441253667,18.534436555988265,1.1030986309051514,0.9834451675415039
35,3.922914505004883,43.541747665405275,0.5310258290339995,0.19698090765237827,3.6718931198120117,2.1540831775025135,-1.50238,3.682847592556256,5.7769,3321.920491790772,18.731417463640643,1.1197912693023682,0.9960520267486572
36,4.189889430999756,40.05172462463379,0.5398620362423491,0.20960402191667765,3.8401103019714355,2.2851490082705803,-1.4701,3.9841365554402275,5.33274,3361.9722164154055,18.94102148555732,1.1040551662445068,0.9910459518432617
37,4.025050640106201,39.192801284790036,0.5224637111674821,-0.2854128334838356,4.108555793762207,2.187579619488134,-1.83078,4.0346245108570535,5.25742,3401.1650177001957,18.655608652073486,1.1192779541015625,0.9985249042510986
38,4.093072891235352,15.477433395385741,0.4860546253667408,0.025372855390316158,3.961411476135254,2.006145495720652,-0.8155,3.5906314372834984,5.56104,3416.6424510955812,18.6809815074638,1.1168818473815918,0.9948647022247314
39,4.06997537612915,9.762913513183594,0.5064591457275939,0.16407643301356897,4.010556697845459,1.9882399443731893,-0.78394,3.6690357514749334,5.58612,3426.405364608765,18.84505794047737,1.115656852722168,1.000251293182373
40,4.1335768699646,10.767038726806641,0.47135499751361837,-0.3196402512943727,3.9715118408203125,2.076773516683823,-1.10598,3.9109525777744563,5.10812,3437.1724033355717,18.525417689182998,1.1138036251068115,0.9946775436401367
41,4.05568265914917,10.026195526123047,0.4781037455642908,0.33949134984731866,4.111912250518799,2.0488511277296166,-0.98242,3.859959795852419,5.21088,3447.198598861695,18.864909039030316,1.1297457218170166,1.0083787441253662
42,4.189413070678711,28.40099182128906,0.5195665601804429,0.08141472747551781,3.9545717239379883,2.1447661428696256,-1.00618,3.997620283918718,4.80284,3475.599590682984,18.946323766505834,1.1101174354553223,0.9897983074188232
43,4.209484100341797,28.21126708984375,0.5561175194502579,-0.08739991517366245,4.102808475494385,2.1838547056981827,-0.90162,4.00545953798036,4.70836,3503.8108577728276,18.85892385133217,1.0993869304656982,0.976311445236206
44,4.000066757202148,15.310157012939452,0.45843133741023556,0.244366934262709,4.161703109741211,1.987140453113251,-0.76014,3.7292802938366427,4.9207,3519.121014785767,19.10329078559488,1.1170687675476074,0.9957804679870605
45,3.9853556156158447,20.09917297363281,0.4636215581406209,0.25615334390896616,3.9551517963409424,1.9788516265755325,-0.8568,3.7938134716408536,4.90868,3539.2201877594,19.359444129503846,1.1082370281219482,0.9877283573150635
46,3.9878952503204346,16.419863891601562,0.4610449925373845,-0.09578236714233376,3.9219167232513428,1.9837655792963123,-1.15708,3.916940423902255,4.82034,3555.640051651001,19.26366176236151,1.1257209777832031,1.0067698955535889
47,3.8007924556732178,12.098691940307617,0.49187816087616115,0.243672246528223,3.899466037750244,1.9423787246572803,-0.9317,3.6944619435579034,5.14426,3567.738743591309,19.507334008889735,1.1155815124511719,0.998044490814209
48,3.8255763053894043,12.666897964477538,0.45926775870680686,-0.5001528376670455,3.728245496749878,1.9500413283820912,-1.06276,3.766672429399326,4.96936,3580.405641555786,19.00718117122269,1.081491231918335,0.963301420211792
49,3.768526315689087,12.230408096313477,0.4531640163304751,-0.5435843059144676,3.7766127586364746,1.9312162215555055,-1.25916,3.8191124162038843,4.91282,3592.6360496520997,18.463596865308222,1.1253609657287598,1.0072524547576904
